Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY
Date,,,,,,,,,,,,,,,
2018-01-01,17146.615234375,970.05078125,,17748.9140625,981.918701171875,,16547.296875,933.2184448242188,,17748.9140625,950.515625,,12920601600,3258976841,
2018-01-02,18738.111328125,1106.174072265625,237.9091339111328,19307.294921875,1147.4713134765625,237.9445485729644,16501.888671875,969.680419921875,236.69644512475205,17106.1875,969.680419921875,237.08592536448378,21070042860,7233235545,86655700.0
2018-01-03,19066.615234375,1207.5396728515625,239.41390991210938,19498.703125,1222.2789306640625,239.56440194186402,18580.861328125,1087.0401611328125,238.0772835196735,18733.234375,1108.1202392578125,238.0772835196735,21162424371,6388350508,90070400.0
2018-01-04,19483.400390625,1225.171630859375,240.42303466796875,19655.73828125,1304.9913330078125,240.90989847444283,18202.125,1185.5404052734375,239.47591532497438,19154.0390625,1206.276611328125,240.06013568466005,27207216480,8122071860,80636400.0
2018-01-05,21621.294921875,1237.671630859375,242.02528381347656,21963.298828125,1334.2364501953125,242.14919463688665,18980.6953125,1186.4168701171875,240.72407159354205,19331.0234375,1218.7117919921875,241.21976891413823,29574635299,8290447357,83524000.0
2018-01-06,21742.244140625,1292.2041015625,,21972.232421875,1315.8106689453125,,20796.486328125,1233.82861328125,,21661.734375,1234.488525390625,,22719261856,5783483632,
2018-01-07,20420.689453125,1429.1236572265625,,21807.494140625,1429.1236572265625,,19969.662109375,1293.8538818359375,,21742.6171875,1293.8538818359375,,19662734276,6902752363,
2018-01-08,18833.677734375,1425.9000244140625,242.4677734375,20485.498046875,1570.8665771484375,242.62709886533426,17650.84765625,1262.645263671875,241.63570462974303,20418.953125,1435.431640625,241.92780124743916,22860856572,10491879394,57319200.0
2018-01-09,18206.302734375,1621.295654296875,243.01663208007812,19226.19921875,1645.4127197265625,243.64510052492588,17988.169921875,1422.2403564453125,242.60943099098998,18776.07421875,1422.759033203125,242.892694266841,20781683681,9936114764,57254000.0
2018-01-10,18763.041015625,1573.66796875,242.64480590820312,18763.041015625,1766.197265625,242.91037531586502,17038.69921875,1536.6844482421875,241.5826093179607,18197.6953125,1622.0440673828125,242.25532572107372,23183353122,11547254346,69574300.0
2018-01-11,16786.7421875,1446.203369140625,244.41513061523438,18845.58984375,1676.9742431640625,244.41513061523438,16437.419921875,1421.119384765625,243.03425630773876,18756.65234375,1589.0435791015625,243.20244214127035,20703999980,9060793860,62361500.0
2018-01-12,17408.642578125,1585.3885498046875,246.00856018066406,17810.142578125,1626.659912109375,246.17671906522696,16469.994140625,1402.0166015625,244.37980969297988,16846.974609375,1450.4107666015625,244.68079383624084,15024209441,6502808159,90816100.0
2018-01-13,17881.3203125,1738.822265625,,18254.009765625,1784.22216796875,,17373.529296875,1581.9892578125,,17373.529296875,1581.9892578125,,15893234561,7155865791,
2018-01-14,17161.2890625,1703.132080078125,,18070.09375,1743.9774169921875,,16521.314453125,1601.588623046875,,17894.51953125,1740.14208984375,,13811896492,6033155402,
2018-01-15,17175.248046875,1605.5982666015625,,17955.755859375,1733.2313232421875,,16985.28125,1603.6995849609375,,17155.431640625,1701.1881103515625,,15846694081,5941951120,
2018-01-16,14274.6484375,1308.9990234375,245.1675567626953,17202.8203125,1606.9976806640625,247.92930560416235,12673.2802734375,1088.652587890625,244.4682591350587,17195.50390625,1606.4805908203125,247.27428304940773,23422075661,10441705382,106555100.0
2018-01-17,13920.85546875,1261.9298095703125,247.50453186035156,14460.8671875,1357.6634521484375,247.89401222222327,11725.595703125,971.3888549804688,245.1676767026019,14200.85546875,1318.502685546875,246.10596293434358,23429032759,10631888311,113258800.0
2018-01-18,14239.2041015625,1285.919921875,247.08851623535156,15031.212890625,1369.1158447265625,247.81434141937402,13603.7158203125,1204.76318359375,246.59279187076797,13933.546875,1264.6546630859375,247.3894734118447,18638813884,7368861129,100728000.0
2018-01-19,14496.482421875,1297.73193359375,248.21263122558594,14917.84375,1359.8563232421875,248.21263122558594,13869.044921875,1246.2064208984375,247.08846550184475,14183.23828125,1276.6627197265625,247.6726588922479,13413685720,5101069665,140920100.0
2018-01-20,16109.8115234375,1442.6668701171875,,16364.3369140625,1457.6036376953125,,14557.4287109375,1305.0379638671875,,14557.4287109375,1305.0379638671875,,14739143570,4964614811,
2018-01-21,14482.724609375,1310.400634765625,,16105.6904296875,1443.328857421875,,14084.287109375,1274.5255126953125,,16097.322265625,1443.328857421875,,12404071950,4217545345,
2018-01-22,13612.873046875,1249.3597412109375,250.2308349609375,14925.69140625,1355.820556640625,250.2308349609375,12742.9052734375,1158.8656005859375,247.9470618347941,14523.9248046875,1317.6044921875,248.00019733832048,13122224619,4744717490,91322400.0
2018-01-23,13492.0322265625,1224.3046875,250.76194763183594,14168.5244140625,1270.3399658203125,251.05404432800503,12635.7880859375,1145.7041015625,249.94757242611976,13629.185546875,1250.492919921875,250.27508378692193,11992680678,4415287261,97084700.0
2018-01-24,14024.3154296875,1307.1697998046875,250.66465759277344,14196.1787109375,1318.2755126953125,252.01014521615699,13197.607421875,1198.37451171875,249.478522512964,13535.4814453125,1225.8538818359375,251.40820374667706,12273146195,4869311705,134816100.0
2018-01-25,13938.01171875,1307.259521484375,250.770751953125,14499.947265625,1359.947021484375,251.62937512994256,13622.716796875,1271.1781005859375,249.97409767885958,14101.2314453125,1312.6513671875,251.5320185803358,10984097044,5013730300,84587300.0
2018-01-26,13748.642578125,1298.5977783203125,253.6741943359375,14394.859375,1330.7589111328125,253.7184694257014,12894.173828125,1227.63916015625,251.35503325820105,13933.802734375,1303.1373291015625,251.61174233570338,11994647789,4452291221,107743100.0
2018-01-27,14080.0693359375,1362.470947265625,,14294.4580078125,1380.82080078125,,13524.408203125,1282.537109375,,13752.9501953125,1299.3115234375,,9332730251,3695632129,
2018-01-28,14512.470703125,1534.212158203125,,14817.9970703125,1547.9376220703125,,14122.6513671875,1368.2677001953125,,14122.6513671875,1368.2677001953125,,10281798347,6614949909,
2018-01-29,13932.98046875,1458.32275390625,251.99232482910156,14627.17578125,1547.8773193359375,253.54138545786572,13794.0146484375,1442.6446533203125,251.83299936194803,14474.546875,1535.0616455078125,253.09879670679024,8766217508,4582179593,90118300.0
2018-01-30,12466.12109375,1321.2388916015625,249.4075469970703,13957.6083984375,1462.544189453125,252.04535787530088,12370.6201171875,1305.286376953125,248.92954372521334,13945.806640625,1460.5059814453125,250.15109263470035,10654800113,5067045271,131796400.0
2018-01-31,12571.9521484375,1375.5213623046875,249.531494140625,12757.9482421875,1385.5430908203125,250.77073705066843,12042.84765625,1275.6419677734375,248.45157667327229,12468.46484375,1321.189453125,250.26620648214785,9890627036,4621798879,108364800.0
2018-02-01,11240.3310546875,1270.7935791015625,249.24818420410156,12661.3974609375,1424.395751953125,250.55825618554806,10850.560546875,1208.077392578125,248.45153012642996,12591.87890625,1376.8250732421875,248.7967622010508,12207237129,6449241333,90102500.0
2018-02-02,10968.6748046875,1137.4964599609375,243.8221893310547,11211.1787109375,1269.6468505859375,248.05333732785328,9601.3779296875,929.7382202148438,243.7867746620313,11205.693359375,1269.5433349609375,247.92053907238494,15808082132,8338577807,173174800.0
2018-02-03,11396.15625,1197.407958984375,,11713.9345703125,1232.0924072265625,,10249.349609375,1052.915771484375,,10995.21875,1141.751953125,,9022353658,4028726587,
2018-02-04,10290.806640625,1037.7601318359375,,11594.841796875,1203.6346435546875,,9979.5947265625,1000.37255859375,,11397.1376953125,1198.212890625,,8794544496,3726282057,
2018-02-05,8713.5625,874.3930053710938,233.62484741210938,10383.275390625,1063.3546142578125,244.17617312530967,8449.904296875,805.877685546875,233.07604178687254,10282.7626953125,1038.103271484375,242.05175292519647,11632611292,5348867324,294681800.0
2018-02-06,9692.5,991.4025268554688,238.227783203125,9812.58984375,995.7080688476562,238.73234077305224,7577.259765625,719.6321411132812,228.99538997718903,8834.4326171875,886.6528930664062,230.09300124077632,17499750400,8147837440,355026800.0
2018-02-07,9573.876953125,951.02880859375,236.9355010986328,10655.958984375,1065.957763671875,241.0869592081186,9052.5009765625,904.9423217773438,236.85581134243014,9694.36328125,988.0349731445312,237.6701866238681,11518449536,4894381276,167376100.0
2018-02-08,10402.2451171875,1029.2100830078125,228.0482635498047,10761.796875,1063.3717041015625,237.37804114136617,9596.20703125,949.6411743164062,228.0128488891531,9594.6796875,949.489990234375,237.236409512231,11762885459,4666757055,246449500.0
2018-02-09,10985.87890625,1111.371826171875,231.4739532470703,10985.87890625,1111.546630859375,233.34166510412416,9928.4267578125,993.1419677734375,223.8791274623616,10410.1103515625,1030.0570068359375,230.85431809264304,8531232950,3138244108,283565300.0
2018-02-10,10841.177734375,1081.8857421875,,11470.6943359375,1153.538818359375,,10430.7236328125,1038.08056640625,,10964.62890625,1109.614013671875,,9783779426,3684848482,
2018-02-11,10234.0068359375,1025.4940185546875,,10833.921875,1080.46875,,9972.5654296875,991.1103515625,,10833.921875,1080.46875,,7706612550,3130195161,
2018-02-12,11226.0546875,1092.48583984375,234.8730010986328,11302.490234375,1103.4178466796875,236.35125945040988,10246.8037109375,1028.91552734375,231.61555429185336,10248.4326171875,1029.0791015625,233.53637439238625,7868098703,2821362861,143736000.0
2018-02-13,10820.1123046875,1063.672607421875,235.4571990966797,11273.337890625,1095.7001953125,236.00600478745633,10635.21484375,1043.0084228515625,233.07606962142876,11226.2431640625,1093.222900390625,233.660289973586,7168752287,2618944388,81223600.0
2018-02-14,11850.2470703125,1152.6964111328125,238.635009765625,11881.9931640625,1157.0172119140625,238.9979357986399,10825.5791015625,1062.7784423828125,233.95241301527872,10822.1396484375,1062.440673828125,233.9612734349906,9872246222,3517607657,120735700.0
2018-02-15,12686.6513671875,1169.2523193359375,241.68006896972656,12777.1240234375,1187.6502685546875,241.68892939113607,11720.046875,1138.615478515625,237.90920328254543,11842.373046875,1152.9049072265625,240.38771707749467,11309144025,3619034910,111200300.0
